,file_name,tag
0,dataset\sphere\raw\raw_360.png,0
1,dataset\sphere\raw\raw_089.png,0
2,dataset\sphere\raw\raw_163.png,0
3,dataset\sphere\raw\raw_057.png,0
4,dataset\sphere\raw\raw_310.png,0
5,dataset\sphere\raw\raw_093.png,0
6,dataset\sphere\raw\raw_151.png,0
7,dataset\sphere\raw\raw_225.png,0
8,dataset\sphere\raw\raw_245.png,0
9,dataset\sphere\raw\raw_392.png,0
10,dataset\sphere\raw\raw_429.png,0
11,dataset\sphere\raw\raw_167.png,0
12,dataset\sphere\raw\raw_080.png,0
13,dataset\sphere\raw\raw_229.png,0
14,dataset\sphere\raw\raw_169.png,0
15,dataset\sphere\raw\raw_236.png,0
16,dataset\sphere\raw\raw_122.png,0
17,dataset\sphere\raw\raw_042.png,0
18,dataset\sphere\raw\raw_368.png,0
19,dataset\sphere\raw\raw_270.png,0
20,dataset\sphere\raw\raw_383.png,0
21,dataset\sphere\raw\raw_375.png,0
22,dataset\sphere\raw\raw_056.png,0
23,dataset\sphere\raw\raw_401.png,0
24,dataset\sphere\raw\raw_027.png,0
25,dataset\sphere\raw\raw_335.png,0
26,dataset\sphere\raw\raw_389.png,0
27,dataset\sphere\raw\raw_188.png,0
28,dataset\sphere\raw\raw_144.png,0
29,dataset\sphere\raw\raw_491.png,0
30,dataset\sphere\raw\raw_387.png,0
31,dataset\sphere\raw\raw_206.png,0
32,dataset\sphere\raw\raw_485.png,0
33,dataset\sphere\raw\raw_049.png,0
34,dataset\sphere\raw\raw_040.png,0
35,dataset\sphere\raw\raw_222.png,0
36,dataset\sphere\raw\raw_143.png,0
37,dataset\sphere\raw\raw_201.png,0
38,dataset\sphere\raw\raw_459.png,0
39,dataset\sphere\raw\raw_129.png,0
40,dataset\sphere\raw\raw_199.png,0
41,dataset\sphere\raw\raw_453.png,0
42,dataset\sphere\raw\raw_113.png,0
43,dataset\sphere\raw\raw_231.png,0
44,dataset\sphere\raw\raw_130.png,0
45,dataset\sphere\raw\raw_303.png,0
46,dataset\sphere\raw\raw_259.png,0
47,dataset\sphere\raw\raw_498.png,0
48,dataset\sphere\raw\raw_178.png,0
49,dataset\sphere\raw\raw_494.png,0
50,dataset\sphere\raw\raw_487.png,0
51,dataset\sphere\raw\raw_370.png,0
52,dataset\sphere\raw\raw_395.png,0
53,dataset\sphere\raw\raw_408.png,0
54,dataset\sphere\raw\raw_084.png,0
55,dataset\sphere\raw\raw_176.png,0
56,dataset\sphere\raw\raw_202.png,0
57,dataset\sphere\raw\raw_239.png,0
58,dataset\sphere\raw\raw_145.png,0
59,dataset\sphere\raw\raw_021.png,0
60,dataset\sphere\raw\raw_120.png,0
61,dataset\sphere\raw\raw_492.png,0
62,dataset\sphere\raw\raw_312.png,0
63,dataset\sphere\raw\raw_017.png,0
64,dataset\sphere\raw\raw_428.png,0
65,dataset\sphere\raw\raw_479.png,0
66,dataset\sphere\raw\raw_275.png,0
67,dataset\sphere\raw\raw_041.png,0
68,dataset\sphere\raw\raw_220.png,0
69,dataset\sphere\raw\raw_046.png,0
70,dataset\sphere\raw\raw_304.png,0
71,dataset\sphere\raw\raw_410.png,0
72,dataset\sphere\raw\raw_048.png,0
73,dataset\sphere\raw\raw_499.png,0
74,dataset\sphere\raw\raw_006.png,0
75,dataset\sphere\raw\raw_224.png,0
76,dataset\sphere\raw\raw_484.png,0
77,dataset\sphere\raw\raw_300.png,0
78,dataset\sphere\raw\raw_088.png,0
79,dataset\sphere\raw\raw_139.png,0
80,dataset\sphere\raw\raw_470.png,0
81,dataset\sphere\raw\raw_258.png,0
82,dataset\sphere\raw\raw_071.png,0
83,dataset\sphere\raw\raw_179.png,0
84,dataset\sphere\raw\raw_101.png,0
85,dataset\sphere\raw\raw_096.png,0
86,dataset\sphere\raw\raw_062.png,0
87,dataset\sphere\raw\raw_422.png,0
88,dataset\sphere\raw\raw_186.png,0
89,dataset\sphere\raw\raw_242.png,0
90,dataset\sphere\raw\raw_288.png,0
91,dataset\sphere\raw\raw_253.png,0
92,dataset\sphere\raw\raw_451.png,0
93,dataset\sphere\raw\raw_480.png,0
94,dataset\sphere\raw\raw_036.png,0
95,dataset\sphere\raw\raw_377.png,0
96,dataset\sphere\raw\raw_347.png,0
97,dataset\sphere\raw\raw_298.png,0
98,dataset\sphere\raw\raw_483.png,0
99,dataset\sphere\raw\raw_054.png,0
100,dataset\sphere\raw\raw_478.png,0
101,dataset\sphere\raw\raw_126.png,0
102,dataset\sphere\raw\raw_244.png,0
103,dataset\sphere\raw\raw_255.png,0
104,dataset\sphere\raw\raw_219.png,0
105,dataset\sphere\raw\raw_354.png,0
106,dataset\sphere\raw\raw_232.png,0
107,dataset\sphere\raw\raw_184.png,0
108,dataset\sphere\raw\raw_108.png,0
109,dataset\sphere\raw\raw_204.png,0
110,dataset\sphere\raw\raw_104.png,0
111,dataset\sphere\raw\raw_292.png,0
112,dataset\sphere\raw\raw_261.png,0
113,dataset\sphere\raw\raw_445.png,0
114,dataset\sphere\raw\raw_493.png,0
115,dataset\sphere\raw\raw_058.png,0
116,dataset\sphere\raw\raw_266.png,0
117,dataset\sphere\raw\raw_431.png,0
118,dataset\sphere\raw\raw_125.png,0
119,dataset\sphere\raw\raw_147.png,0
120,dataset\sphere\raw\raw_400.png,0
121,dataset\sphere\raw\raw_181.png,0
122,dataset\sphere\raw\raw_419.png,0
123,dataset\sphere\raw\raw_159.png,0
124,dataset\sphere\raw\raw_482.png,0
125,dataset\sphere\raw\raw_402.png,0
126,dataset\sphere\raw\raw_031.png,0
127,dataset\sphere\raw\raw_285.png,0
128,dataset\sphere\raw\raw_426.png,0
129,dataset\sphere\raw\raw_331.png,0
130,dataset\sphere\raw\raw_465.png,0
131,dataset\sphere\raw\raw_160.png,0
132,dataset\sphere\raw\raw_289.png,0
133,dataset\sphere\raw\raw_020.png,0
134,dataset\sphere\raw\raw_010.png,0
135,dataset\sphere\raw\raw_249.png,0
136,dataset\sphere\raw\raw_123.png,0
137,dataset\sphere\raw\raw_055.png,0
138,dataset\sphere\raw\raw_014.png,0
139,dataset\sphere\raw\raw_251.png,0
140,dataset\sphere\raw\raw_290.png,0
141,dataset\sphere\raw\raw_008.png,0
142,dataset\sphere\raw\raw_038.png,0
143,dataset\sphere\raw\raw_432.png,0
144,dataset\sphere\raw\raw_037.png,0
145,dataset\sphere\raw\raw_142.png,0
146,dataset\sphere\raw\raw_332.png,0
147,dataset\sphere\raw\raw_379.png,0
148,dataset\sphere\raw\raw_469.png,0
149,dataset\sphere\raw\raw_330.png,0
150,dataset\sphere\raw\raw_311.png,0
151,dataset\sphere\raw\raw_168.png,0
152,dataset\sphere\raw\raw_212.png,0
153,dataset\sphere\raw\raw_183.png,0
154,dataset\sphere\raw\raw_397.png,0
155,dataset\sphere\raw\raw_355.png,0
156,dataset\sphere\raw\raw_393.png,0
157,dataset\sphere\raw\raw_381.png,0
158,dataset\sphere\raw\raw_180.png,0
159,dataset\sphere\raw\raw_216.png,0
160,dataset\sphere\raw\raw_083.png,0
161,dataset\sphere\raw\raw_351.png,0
162,dataset\sphere\raw\raw_187.png,0
163,dataset\sphere\raw\raw_373.png,0
164,dataset\sphere\raw\raw_343.png,0
165,dataset\sphere\raw\raw_295.png,0
166,dataset\sphere\raw\raw_407.png,0
167,dataset\sphere\raw\raw_228.png,0
168,dataset\sphere\raw\raw_380.png,0
169,dataset\sphere\raw\raw_208.png,0
170,dataset\sphere\raw\raw_338.png,0
