,file_name,tag
1219,dataset\bolt\raw\raw_380.png,3
1574,dataset\spanner\raw\raw_411.png,4
199,dataset\sphere\raw\raw_391.png,0
3547,dataset\key\raw\raw_161.png,9
3035,dataset\usb_typec\raw\raw_219.png,8
2471,dataset\lego_2x3\raw\raw_175.png,6
3749,dataset\hex_key\raw\raw_129.png,10
2621,dataset\usb_mini\raw\raw_053.png,7
2472,dataset\lego_2x3\raw\raw_063.png,6
2814,dataset\usb_mini\raw\raw_155.png,7
406,dataset\cylinder\raw\raw_357.png,1
1543,dataset\spanner\raw\raw_203.png,4
2790,dataset\usb_mini\raw\raw_375.png,7
894,dataset\nut\raw\raw_002.png,2
1306,dataset\bolt\raw\raw_120.png,3
3861,dataset\hex_key\raw\raw_015.png,10
3101,dataset\usb_typec\raw\raw_392.png,8
1409,dataset\bolt\raw\raw_178.png,3
3957,dataset\hex_key\raw\raw_300.png,10
118,dataset\sphere\raw\raw_125.png,0
2748,dataset\usb_mini\raw\raw_026.png,7
1146,dataset\bolt\raw\raw_401.png,3
1203,dataset\bolt\raw\raw_286.png,3
422,dataset\cylinder\raw\raw_460.png,1
3223,dataset\usb_typec\raw\raw_234.png,8
487,dataset\cylinder\raw\raw_092.png,1
2967,dataset\usb_typec\raw\raw_361.png,8
857,dataset\nut\raw\raw_410.png,2
3693,dataset\hex_key\raw\raw_389.png,10
4191,dataset\mesh_pot\raw\raw_021.png,11
1566,dataset\spanner\raw\raw_078.png,4
3615,dataset\hex_key\raw\raw_235.png,10
3591,dataset\key\raw\raw_170.png,9
3235,dataset\usb_typec\raw\raw_042.png,8
3106,dataset\usb_typec\raw\raw_335.png,8
4202,dataset\mesh_pot\raw\raw_183.png,11
1433,dataset\bolt\raw\raw_405.png,3
195,dataset\sphere\raw\raw_438.png,0
2793,dataset\usb_mini\raw\raw_131.png,7
4108,dataset\mesh_pot\raw\raw_204.png,11
2377,dataset\lego_2x3\raw\raw_284.png,6
2263,dataset\lego_2x3\raw\raw_147.png,6
4210,dataset\mesh_pot\raw\raw_050.png,11
903,dataset\nut\raw\raw_180.png,2
3026,dataset\usb_typec\raw\raw_165.png,8
2184,dataset\lego_2x3\raw\raw_137.png,6
2349,dataset\lego_2x3\raw\raw_172.png,6
493,dataset\cylinder\raw\raw_261.png,1
2197,dataset\lego_2x3\raw\raw_381.png,6
2594,dataset\usb_mini\raw\raw_003.png,7
2572,dataset\usb_mini\raw\raw_017.png,7
4050,dataset\mesh_pot\raw\raw_236.png,11
732,dataset\nut\raw\raw_022.png,2
3816,dataset\hex_key\raw\raw_140.png,10
3730,dataset\hex_key\raw\raw_193.png,10
3148,dataset\usb_typec\raw\raw_126.png,8
1929,dataset\lego_1x2\raw\raw_196.png,5
1389,dataset\bolt\raw\raw_053.png,3
159,dataset\sphere\raw\raw_216.png,0
2530,dataset\usb_mini\raw\raw_170.png,7
200,dataset\sphere\raw\raw_100.png,0
4220,dataset\mesh_pot\raw\raw_102.png,11
2573,dataset\usb_mini\raw\raw_015.png,7
2875,dataset\usb_mini\raw\raw_007.png,7
4086,dataset\mesh_pot\raw\raw_235.png,11
3287,dataset\key\raw\raw_424.png,9
3281,dataset\key\raw\raw_442.png,9
1049,dataset\nut\raw\raw_111.png,2
149,dataset\sphere\raw\raw_330.png,0
1462,dataset\spanner\raw\raw_189.png,4
1618,dataset\spanner\raw\raw_208.png,4
547,dataset\cylinder\raw\raw_039.png,1
3152,dataset\usb_typec\raw\raw_342.png,8
2956,dataset\usb_typec\raw\raw_066.png,8
2596,dataset\usb_mini\raw\raw_393.png,7
933,dataset\nut\raw\raw_122.png,2
1046,dataset\nut\raw\raw_049.png,2
3424,dataset\key\raw\raw_306.png,9
